"Tweet_ID","Root_Tweet_ID","Teks_Root","Teks_Komentar","Kategori_Utama","Subkategori_Primer","Kategori_Sekunder","Annotation_Status","Annotator_1","Annotator_2","Adjudicated_Label","Label_Guide_Version"
"1794288310627774468","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco Kebanyakan joged awokawokawoak","","","","","","","",""
"1794272241141911901","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco bukti kl asal janji begitu lah. gonta ganti nama krn dana gk da","","","","","","","",""
"1794571160245641439","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco Cukup 1x setahun saja","","","","","","","",""
"1794297929722994871","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco Biar irit,lontong isi sayur satu juga sudah bergizi kan,,","","","","","","","",""
"1794590787411607913","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco hahaha dah ksih roti yg 2000an aj dah brgizi.. repot amat dah tau lah","","","","","","","",""
"1794296208514752858","1794266936492306591","Jubir Prabowo Ungkap Alasan Ganti Makan Siang Gratis Jadi Makan Bergizi Gratis https://t.co/fEsC1KJRJx #TempoNasional","@tempodotco Akhirnya yg cuma omon-omon siapa ya ??","","","","","","","",""
"1798156605135175749","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Kenapa bukan kesejahteraan rakyat yg ditingkatkan secara keseluruhan,mmgnya hanya dg makan sekali sehari bisa meningkatkan sdm?? Bgmn dg faktor lain?pendidikan,kesehatan dll","","","","","","","",""
"1798157441101918590","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Bu Sri Mulyani makin kesini kok makin kesini...ada apa tidak seperti dulu lagi..","","","","","","","",""
"1798191301550326223","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Sebenarnya kalo punya niat bantu rakyat karena banyak angka pengangguran serta sulitnya lapangan pekerjaan turunkan harga sembako yang terjangkau oleh rakyat, tak perlulah memberi makan siang gratis segala apalagi bansos  karena semua itu sangat merepotkan dan kurang mendidik.","","","","","","","",""
"1798281807391273430","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Semoga saja dari Susu tidak berubah jadi telor, eh semoga tidak berubah lagi jadi tempe.. eh https://t.co/JgLkBtEguY","","","","","","","",""
"1798184665964216481","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Kasus yg 240 T dikemekeu gimana Bu,semua menteri kok malah pada ngurusi yg bukan menjadi topoksi pekerjaannya","","","","","","","",""
"1798166996150018461","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Makan bergizi tak perlu lewat pemerintah yg dibutuhkan rakyat biaya pendidikan gratis hingga kuliah dan sembako murah","","","","","","","",""
